Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per kilogram,Freshwater withdrawals per kilogram,Greenhouse gas emissions per 100g protein,Land use per kilogram,Scarcity-weighted water use per kilogram
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4,0.0,0.0,0.0,0.0,0.0
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,0.0,0.0,0.0,0.0,0.0
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,11.23,482.4,1.91,7.6,18786.2
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,35.07,2248.4,6.27,2.8,49576.3
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.48,59.1,2.71,0.88,2754.2
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.69,0.0,14.67,1.81,0.0
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,16.92,620.1,0.0,2.04,16438.6
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,5.41,217.7,0.0,1.83,9493.3
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,17.08,435.7,0.84,15.57,22477.4
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.8,7.52,396.6,0.44,7.46,27948.2
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.2,19.15,4133.8,0.26,12.96,229889.8
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,14.14,1852.3,1.23,9.11,61797.9
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,1.06,27.8,0.0,0.66,955.6
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,3.0,0.0,0.0,0.0,0.0,0.0
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,6.0,11.69,414.6,0.0,10.52,14888.2
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,7.6,10.67,6.4,0.0,2.42,36.2
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.5,50.66,1007.9,0.0,17.66,36369.4
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.7,19.19,237.7,0.0,10.63,10593.7
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.0,37.26,2141.8,0.0,26.31,177480.2
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.4,7.51,369.8,19.0,0.8,5335.7
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.24,14.3,3.85,0.39,932.0
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,1.61,28.4,4.3,0.33,929.2
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4,5.01,119.4,4.64,0.55,8455.1
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,2.27,102.5,0.0,0.38,4911.4
Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,2.24,82.7,6.5,0.86,4662.7
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.8,3.29,114.5,9.56,1.93,661.9
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,1.45,180.1,14.33,0.63,12948.6
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.1,6.12,419.6,15.3,2.41,21162.1
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.4,4.57,78.9,0.0,1.78,1149.3
Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,2.43,153.5,0.0,0.89,9533.1
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,16.5,110.52,25.9,35.66,21.62,337.0
Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,18.7,87.08,540.6,93.3,68.96,2879.2
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,301.41,1451.2,49.89,326.21,34732.5
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,365.29,2714.3,16.87,43.24,119805.2
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,97.13,1802.8,19.85,369.81,141925.0
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,76.38,1795.8,7.61,17.36,66867.4
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,48.7,660.0,5.7,12.22,14177.9
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,10.65,628.2,9.5,8.95,19786.3
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,98.37,5605.2,10.82,87.79,180850.6
Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,4.5,21.76,577.7,4.21,6.27,17982.7
Fish (farmed),0.5,0.8,3.6,0.0,0.1,0.1,0.0,5.1,235.12,3691.3,5.98,8.41,41572.2
Shrimps (farmed),0.2,2.5,8.4,0.0,0.2,0.3,0.2,11.8,0.0,0.0,0.0,0.0,0.0
